,County,Battery Electric Vehicles (BEVs),Month,Year
962,Pierce,1581,1,2019
963,San Juan,190,1,2019
964,Skagit,271,1,2019
965,Skamania,18,1,2019
966,Snohomish,3075,1,2019
967,Spokane,471,1,2019
968,Stevens,18,1,2019
969,Thurston,771,1,2019
970,Wahkiakum,1,1,2019
971,Walla Walla,42,1,2019
972,Whatcom,780,1,2019
973,Whitman,24,1,2019
974,Yakima,84,1,2019
975,Adams,4,2,2019
976,Asotin,12,2,2019
977,Benton,233,2,2019
978,Chelan,145,2,2019
979,Clallam,153,2,2019
980,Clark,1337,2,2019
981,Columbia,2,2,2019
982,Cowlitz,82,2,2019
983,Douglas,52,2,2019
984,Ferry,3,2,2019
985,Franklin,50,2,2019
986,Garfield,1,2,2019
987,Grant,33,2,2019
988,Grays Harbor,66,2,2019
989,Island,294,2,2019
990,Jefferson,179,2,2019
991,King,17531,2,2019
992,Kitsap,988,2,2019
993,Kittitas,73,2,2019
994,Klickitat,30,2,2019
995,Lewis,96,2,2019
996,Lincoln,3,2,2019
997,Mason,109,2,2019
998,Okanogan,19,2,2019
999,Pacific,22,2,2019
1000,Pend Oreille,5,2,2019
1001,Pierce,1611,2,2019
1002,San Juan,193,2,2019
1003,Skagit,279,2,2019
1004,Skamania,20,2,2019
1005,Snohomish,3146,2,2019
1006,Spokane,481,2,2019
1007,Stevens,18,2,2019
1008,Thurston,782,2,2019
1009,Wahkiakum,1,2,2019
1010,Walla Walla,43,2,2019
1011,Whatcom,787,2,2019
1012,Whitman,25,2,2019
1013,Yakima,86,2,2019
1014,Adams,4,3,2019
1015,Asotin,12,3,2019
1016,Benton,236,3,2019
1017,Chelan,144,3,2019
1018,Clallam,154,3,2019
1019,Clark,1358,3,2019
1020,Columbia,2,3,2019
1021,Cowlitz,84,3,2019
1022,Douglas,53,3,2019
1023,Ferry,3,3,2019
1024,Franklin,52,3,2019
1025,Garfield,1,3,2019
1026,Grant,34,3,2019
1027,Grays Harbor,69,3,2019
1028,Island,300,3,2019
1029,Jefferson,179,3,2019
1030,King,17681,3,2019
1031,Kitsap,997,3,2019
1032,Kittitas,71,3,2019
1033,Klickitat,32,3,2019
1034,Lewis,95,3,2019
1035,Lincoln,3,3,2019
1036,Mason,114,3,2019
1037,Okanogan,20,3,2019
1038,Pacific,23,3,2019
1039,Pend Oreille,5,3,2019
1040,Pierce,1635,3,2019
1041,San Juan,197,3,2019
1042,Skagit,282,3,2019
1043,Skamania,21,3,2019
1044,Snohomish,3195,3,2019
1045,Spokane,491,3,2019
1046,Stevens,18,3,2019
1047,Thurston,802,3,2019
1048,Wahkiakum,1,3,2019
1049,Walla Walla,44,3,2019
1050,Whatcom,794,3,2019
1051,Whitman,27,3,2019
1052,Yakima,89,3,2019
1053,Adams,5,4,2019
1054,Asotin,12,4,2019
1055,Benton,248,4,2019
1056,Chelan,147,4,2019
1057,Clallam,160,4,2019
1058,Clark,1414,4,2019
1059,Columbia,2,4,2019
1060,Cowlitz,89,4,2019
1061,Douglas,55,4,2019
1062,Ferry,4,4,2019
1063,Franklin,53,4,2019
1064,Garfield,1,4,2019
1065,Grant,35,4,2019
1066,Grays Harbor,70,4,2019
1067,Island,310,4,2019
1068,Jefferson,187,4,2019
1069,King,18279,4,2019
1070,Kitsap,1008,4,2019
1071,Kittitas,71,4,2019
1072,Klickitat,33,4,2019
1073,Lewis,95,4,2019
1074,Lincoln,3,4,2019
1075,Mason,117,4,2019
1076,Okanogan,20,4,2019
1077,Pacific,23,4,2019
1078,Pend Oreille,4,4,2019
1079,Pierce,1692,4,2019
1080,San Juan,204,4,2019
1081,Skagit,293,4,2019
1082,Skamania,21,4,2019
1083,Snohomish,3292,4,2019
1084,Spokane,512,4,2019
1085,Stevens,19,4,2019
1086,Thurston,821,4,2019
1087,Wahkiakum,1,4,2019
1088,Walla Walla,46,4,2019
1089,Whatcom,825,4,2019
1090,Whitman,29,4,2019
1091,Yakima,93,4,2019
1092,Adams,5,5,2019
1093,Asotin,12,5,2019
1094,Benton,253,5,2019
1095,Chelan,153,5,2019
1096,Clallam,167,5,2019
1097,Clark,1475,5,2019
1098,Columbia,2,5,2019
1099,Cowlitz,95,5,2019
1100,Douglas,56,5,2019
1101,Ferry,5,5,2019
1102,Franklin,52,5,2019
1103,Garfield,1,5,2019
1104,Grant,39,5,2019
1105,Grays Harbor,73,5,2019
1106,Island,315,5,2019
1107,Jefferson,191,5,2019
1108,King,18618,5,2019
1109,Kitsap,1035,5,2019
1110,Kittitas,72,5,2019
1111,Klickitat,35,5,2019
1112,Lewis,97,5,2019
1113,Lincoln,3,5,2019
1114,Mason,121,5,2019
1115,Okanogan,21,5,2019
1116,Pacific,24,5,2019
1117,Pend Oreille,4,5,2019
1118,Pierce,1751,5,2019
1119,San Juan,207,5,2019
1120,Skagit,293,5,2019
1121,Skamania,23,5,2019
1122,Snohomish,3372,5,2019
1123,Spokane,529,5,2019
1124,Stevens,20,5,2019
1125,Thurston,844,5,2019
1126,Wahkiakum,2,5,2019
1127,Walla Walla,46,5,2019
1128,Whatcom,839,5,2019
1129,Whitman,31,5,2019
1130,Yakima,94,5,2019
1131,Adams,5,6,2019
1132,Asotin,12,6,2019
1133,Benton,259,6,2019
1134,Chelan,157,6,2019
1135,Clallam,174,6,2019
1136,Clark,1538,6,2019
1137,Columbia,2,6,2019
1138,Cowlitz,98,6,2019
1139,Douglas,57,6,2019
1140,Ferry,5,6,2019
1141,Franklin,52,6,2019
1142,Garfield,1,6,2019
1143,Grant,41,6,2019
1144,Grays Harbor,73,6,2019
1145,Island,317,6,2019
1146,Jefferson,197,6,2019
1147,King,19082,6,2019
1148,Kitsap,1049,6,2019
1149,Kittitas,81,6,2019
1150,Klickitat,35,6,2019
1151,Lewis,99,6,2019
1152,Lincoln,2,6,2019
1153,Mason,124,6,2019
1154,Okanogan,22,6,2019
1155,Pacific,25,6,2019
1156,Pend Oreille,4,6,2019
1157,Pierce,1808,6,2019
1158,San Juan,212,6,2019
1159,Skagit,299,6,2019
1160,Skamania,23,6,2019
1161,Snohomish,3472,6,2019
1162,Spokane,539,6,2019
1163,Stevens,19,6,2019
1164,Thurston,875,6,2019
1165,Wahkiakum,2,6,2019
1166,Walla Walla,49,6,2019
1167,Whatcom,855,6,2019
1168,Whitman,31,6,2019
1169,Yakima,105,6,2019
1170,Adams,5,7,2019
1171,Asotin,12,7,2019
1172,Benton,270,7,2019
1173,Chelan,161,7,2019
1174,Clallam,178,7,2019
1175,Clark,1588,7,2019
1176,Columbia,2,7,2019
1177,Cowlitz,106,7,2019
1178,Douglas,60,7,2019
1179,Ferry,5,7,2019
1180,Franklin,53,7,2019
1181,Garfield,1,7,2019
1182,Grant,43,7,2019
1183,Grays Harbor,82,7,2019
1184,Island,328,7,2019
1185,Jefferson,202,7,2019
1186,King,19629,7,2019
1187,Kitsap,1092,7,2019
1188,Kittitas,79,7,2019
1189,Klickitat,35,7,2019
1190,Lewis,100,7,2019
1191,Lincoln,2,7,2019
1192,Mason,127,7,2019
1193,Okanogan,23,7,2019
1194,Pacific,24,7,2019
1195,Pend Oreille,4,7,2019
1196,Pierce,1877,7,2019
1197,San Juan,220,7,2019
1198,Skagit,308,7,2019
1199,Skamania,25,7,2019
1200,Snohomish,3555,7,2019
1201,Spokane,557,7,2019
1202,Stevens,19,7,2019
1203,Thurston,905,7,2019
1204,Wahkiakum,2,7,2019
1205,Walla Walla,52,7,2019
1206,Whatcom,885,7,2019
1207,Whitman,33,7,2019
1208,Yakima,109,7,2019
1209,Adams,5,8,2019
1210,Asotin,12,8,2019
1211,Benton,280,8,2019
1212,Chelan,165,8,2019
1213,Clallam,185,8,2019
1214,Clark,1647,8,2019
1215,Columbia,2,8,2019
1216,Cowlitz,107,8,2019
1217,Douglas,61,8,2019
1218,Ferry,5,8,2019
1219,Franklin,51,8,2019
1220,Garfield,0,8,2019
1221,Grant,45,8,2019
1222,Grays Harbor,88,8,2019
1223,Island,335,8,2019
1224,Jefferson,205,8,2019
1225,King,20008,8,2019
1226,Kitsap,1113,8,2019
1227,Kittitas,79,8,2019
1228,Klickitat,37,8,2019
1229,Lewis,105,8,2019
1230,Lincoln,2,8,2019
1231,Mason,130,8,2019
1232,Okanogan,25,8,2019
1233,Pacific,23,8,2019
1234,Pend Oreille,5,8,2019
1235,Pierce,1930,8,2019
1236,San Juan,225,8,2019
1237,Skagit,311,8,2019
1238,Skamania,25,8,2019
1239,Snohomish,3640,8,2019
1240,Spokane,575,8,2019
1241,Stevens,22,8,2019
1242,Thurston,927,8,2019
1243,Wahkiakum,2,8,2019
1244,Walla Walla,56,8,2019
1245,Whatcom,904,8,2019
1246,Whitman,34,8,2019
1247,Yakima,112,8,2019
1248,Adams,5,9,2019
1249,Asotin,12,9,2019
1250,Benton,291,9,2019
1251,Chelan,174,9,2019
1252,Clallam,186,9,2019
1253,Clark,1700,9,2019
1254,Columbia,3,9,2019
1255,Cowlitz,106,9,2019
1256,Douglas,62,9,2019
1257,Ferry,5,9,2019
1258,Franklin,51,9,2019
1259,Garfield,0,9,2019
1260,Grant,48,9,2019
1261,Grays Harbor,89,9,2019
1262,Island,346,9,2019
1263,Jefferson,207,9,2019
1264,King,20425,9,2019
1265,Kitsap,1135,9,2019
1266,Kittitas,81,9,2019
1267,Klickitat,38,9,2019
1268,Lewis,107,9,2019
1269,Lincoln,2,9,2019
1270,Mason,133,9,2019
1271,Okanogan,24,9,2019
1272,Pacific,25,9,2019
1273,Pend Oreille,6,9,2019
1274,Pierce,1966,9,2019
1275,San Juan,229,9,2019
1276,Skagit,316,9,2019
1277,Skamania,26,9,2019
1278,Snohomish,3739,9,2019
1279,Spokane,596,9,2019
1280,Stevens,27,9,2019
1281,Thurston,953,9,2019
1282,Wahkiakum,2,9,2019
1283,Walla Walla,59,9,2019
1284,Whatcom,924,9,2019
1285,Whitman,36,9,2019
1286,Yakima,112,9,2019
1287,Adams,6,10,2019
1288,Asotin,12,10,2019
1289,Benton,307,10,2019
1290,Chelan,191,10,2019
1291,Clallam,195,10,2019
1292,Clark,1782,10,2019
1293,Columbia,3,10,2019
1294,Cowlitz,112,10,2019
1295,Douglas,63,10,2019
1296,Ferry,5,10,2019
1297,Franklin,53,10,2019
1298,Garfield,0,10,2019
1299,Grant,55,10,2019
1300,Grays Harbor,95,10,2019
1301,Island,362,10,2019
1302,Jefferson,210,10,2019
1303,King,21371,10,2019
1304,Kitsap,1178,10,2019
1305,Kittitas,87,10,2019
1306,Klickitat,43,10,2019
1307,Lewis,108,10,2019
1308,Lincoln,2,10,2019
1309,Mason,140,10,2019
1310,Okanogan,24,10,2019
1311,Pacific,30,10,2019
1312,Pend Oreille,7,10,2019
1313,Pierce,2058,10,2019
1314,San Juan,236,10,2019
1315,Skagit,337,10,2019
1316,Skamania,25,10,2019
1317,Snohomish,3896,10,2019
1318,Spokane,616,10,2019
1319,Stevens,29,10,2019
1320,Thurston,1005,10,2019
1321,Wahkiakum,4,10,2019
1322,Walla Walla,62,10,2019
1323,Whatcom,951,10,2019
1324,Whitman,38,10,2019
1325,Yakima,116,10,2019
1326,Adams,6,11,2019
1327,Asotin,13,11,2019
1328,Benton,310,11,2019
1329,Chelan,196,11,2019
1330,Clallam,196,11,2019
1331,Clark,1806,11,2019
1332,Columbia,3,11,2019
1333,Cowlitz,114,11,2019
1334,Douglas,65,11,2019
1335,Ferry,5,11,2019
1336,Franklin,53,11,2019
1337,Garfield,0,11,2019
1338,Grant,53,11,2019
1339,Grays Harbor,99,11,2019
1340,Island,364,11,2019
1341,Jefferson,212,11,2019
1342,King,21602,11,2019
1343,Kitsap,1191,11,2019
1344,Kittitas,89,11,2019
1345,Klickitat,45,11,2019
1346,Lewis,109,11,2019
1347,Lincoln,1,11,2019
1348,Mason,140,11,2019
1349,Okanogan,27,11,2019
1350,Pacific,29,11,2019
1351,Pend Oreille,7,11,2019
1352,Pierce,2083,11,2019
1353,San Juan,243,11,2019
1354,Skagit,348,11,2019
1355,Skamania,26,11,2019
1356,Snohomish,3942,11,2019
1357,Spokane,631,11,2019
1358,Stevens,31,11,2019
1359,Thurston,1035,11,2019
1360,Wahkiakum,4,11,2019
1361,Walla Walla,64,11,2019
1362,Whatcom,966,11,2019
1363,Whitman,41,11,2019
1364,Yakima,118,11,2019
1365,Adams,6,12,2019
1366,Asotin,14,12,2019
1367,Benton,315,12,2019
1368,Chelan,201,12,2019
1369,Clallam,197,12,2019
1370,Clark,1843,12,2019
1371,Columbia,3,12,2019
1372,Cowlitz,118,12,2019
1373,Douglas,67,12,2019
1374,Ferry,5,12,2019
1375,Franklin,54,12,2019
1376,Garfield,0,12,2019
1377,Grant,55,12,2019
1378,Grays Harbor,105,12,2019
1379,Island,376,12,2019
1380,Jefferson,217,12,2019
1381,King,21955,12,2019
1382,Kitsap,1200,12,2019
1383,Kittitas,90,12,2019
1384,Klickitat,46,12,2019
1385,Lewis,106,12,2019
1386,Lincoln,1,12,2019
1387,Mason,142,12,2019
1388,Okanogan,30,12,2019
1389,Pacific,30,12,2019
1390,Pend Oreille,7,12,2019
1391,Pierce,2127,12,2019
1392,San Juan,253,12,2019
1393,Skagit,364,12,2019
1394,Skamania,26,12,2019
1395,Snohomish,4020,12,2019
1396,Spokane,643,12,2019
1397,Stevens,31,12,2019
1398,Thurston,1052,12,2019
1399,Wahkiakum,4,12,2019
1400,Walla Walla,63,12,2019
1401,Whatcom,989,12,2019
1402,Whitman,42,12,2019
1403,Yakima,117,12,2019
1404,Adams,7,1,2020
1405,Asotin,17,1,2020
1406,Benton,337,1,2020
1407,Chelan,213,1,2020
1408,Clallam,204,1,2020
1409,Clark,1940,1,2020
1410,Columbia,3,1,2020
1411,Cowlitz,127,1,2020
1412,Douglas,69,1,2020
1413,Ferry,5,1,2020
1414,Franklin,57,1,2020
1415,Garfield,0,1,2020
1416,Grant,58,1,2020
1417,Grays Harbor,105,1,2020
1418,Island,393,1,2020
1419,Jefferson,224,1,2020
1420,King,23200,1,2020
1421,Kitsap,1259,1,2020
1422,Kittitas,93,1,2020
1423,Klickitat,48,1,2020
1424,Lewis,109,1,2020
1425,Lincoln,1,1,2020
1426,Mason,150,1,2020
1427,Okanogan,32,1,2020
1428,Pacific,30,1,2020
1429,Pend Oreille,8,1,2020
1430,Pierce,2229,1,2020
1431,San Juan,265,1,2020
1432,Skagit,379,1,2020
1433,Skamania,29,1,2020
1434,Snohomish,4243,1,2020
1435,Spokane,684,1,2020
1436,Stevens,33,1,2020
1437,Thurston,1093,1,2020
1438,Wahkiakum,4,1,2020
1439,Walla Walla,65,1,2020
1440,Whatcom,1035,1,2020
1441,Whitman,42,1,2020
1442,Yakima,121,1,2020
1443,Adams,7,2,2020
1444,Asotin,16,2,2020
1445,Benton,338,2,2020
1446,Chelan,216,2,2020
1447,Clallam,207,2,2020
1448,Clark,1970,2,2020
1449,Columbia,3,2,2020
1450,Cowlitz,128,2,2020
1451,Douglas,69,2,2020
1452,Ferry,5,2,2020
1453,Franklin,58,2,2020
1454,Garfield,0,2,2020
1455,Grant,58,2,2020
1456,Grays Harbor,109,2,2020
1457,Island,402,2,2020
1458,Jefferson,230,2,2020
1459,King,23450,2,2020
1460,Kitsap,1274,2,2020
1461,Kittitas,94,2,2020
1462,Klickitat,49,2,2020
1463,Lewis,108,2,2020
1464,Lincoln,1,2,2020
1465,Mason,150,2,2020
1466,Okanogan,34,2,2020
1467,Pacific,30,2,2020
1468,Pend Oreille,8,2,2020
1469,Pierce,2253,2,2020
1470,San Juan,279,2,2020
1471,Skagit,380,2,2020
1472,Skamania,28,2,2020
1473,Snohomish,4301,2,2020
1474,Spokane,696,2,2020
1475,Stevens,33,2,2020
1476,Thurston,1109,2,2020
1477,Wahkiakum,5,2,2020
1478,Walla Walla,68,2,2020
1479,Whatcom,1045,2,2020
1480,Whitman,42,2,2020
1481,Yakima,123,2,2020
1482,Adams,7,3,2020
1483,Asotin,16,3,2020
1484,Benton,344,3,2020
1485,Chelan,220,3,2020
1486,Clallam,215,3,2020
1487,Clark,1983,3,2020
1488,Columbia,3,3,2020
1489,Cowlitz,134,3,2020
1490,Douglas,71,3,2020
1491,Ferry,5,3,2020
1492,Franklin,58,3,2020
1493,Garfield,0,3,2020
1494,Grant,58,3,2020
1495,Grays Harbor,107,3,2020
1496,Island,407,3,2020
1497,Jefferson,234,3,2020
1498,King,23887,3,2020
1499,Kitsap,1298,3,2020
1500,Kittitas,98,3,2020
1501,Klickitat,51,3,2020
1502,Lewis,105,3,2020
1503,Lincoln,2,3,2020
1504,Mason,153,3,2020
1505,Okanogan,34,3,2020
1506,Pacific,29,3,2020
1507,Pend Oreille,8,3,2020
1508,Pierce,2310,3,2020
1509,San Juan,291,3,2020
1510,Skagit,392,3,2020
1511,Skamania,29,3,2020
1512,Snohomish,4369,3,2020
1513,Spokane,704,3,2020
1514,Stevens,33,3,2020
1515,Thurston,1131,3,2020
1516,Wahkiakum,6,3,2020
1517,Walla Walla,68,3,2020
1518,Whatcom,1060,3,2020
1519,Whitman,42,3,2020
1520,Yakima,125,3,2020
1521,Adams,7,4,2020
1522,Asotin,16,4,2020
1523,Benton,348,4,2020
1524,Chelan,224,4,2020
1525,Clallam,220,4,2020
1526,Clark,1992,4,2020
1527,Columbia,3,4,2020
1528,Cowlitz,136,4,2020
1529,Douglas,69,4,2020
1530,Ferry,5,4,2020
1531,Franklin,58,4,2020
1532,Garfield,0,4,2020
1533,Grant,59,4,2020
1534,Grays Harbor,106,4,2020
1535,Island,406,4,2020
1536,Jefferson,234,4,2020
1537,King,24088,4,2020
1538,Kitsap,1313,4,2020
1539,Kittitas,101,4,2020
1540,Klickitat,53,4,2020
1541,Lewis,99,4,2020
1542,Lincoln,4,4,2020
1543,Mason,155,4,2020
1544,Okanogan,34,4,2020
1545,Pacific,30,4,2020
1546,Pend Oreille,8,4,2020
1547,Pierce,2347,4,2020
1548,San Juan,295,4,2020
1549,Skagit,398,4,2020
1550,Skamania,29,4,2020
1551,Snohomish,4399,4,2020
1552,Spokane,711,4,2020
1553,Stevens,33,4,2020
1554,Thurston,1141,4,2020
1555,Wahkiakum,6,4,2020
1556,Walla Walla,69,4,2020
1557,Whatcom,1061,4,2020
1558,Whitman,44,4,2020
1559,Yakima,130,4,2020
1560,Adams,8,5,2020
1561,Asotin,16,5,2020
1562,Benton,354,5,2020
1563,Chelan,228,5,2020
1564,Clallam,223,5,2020
1565,Clark,2003,5,2020
1566,Columbia,4,5,2020
1567,Cowlitz,136,5,2020
1568,Douglas,69,5,2020
1569,Ferry,5,5,2020
1570,Franklin,58,5,2020
1571,Garfield,0,5,2020
1572,Grant,59,5,2020
1573,Grays Harbor,106,5,2020
1574,Island,410,5,2020
1575,Jefferson,233,5,2020
1576,King,24020,5,2020
1577,Kitsap,1312,5,2020
1578,Kittitas,102,5,2020
1579,Klickitat,53,5,2020
1580,Lewis,99,5,2020
1581,Lincoln,4,5,2020
1582,Mason,157,5,2020
1583,Okanogan,34,5,2020
1584,Pacific,31,5,2020
1585,Pend Oreille,7,5,2020
1586,Pierce,2351,5,2020
1587,San Juan,298,5,2020
1588,Skagit,401,5,2020
1589,Skamania,30,5,2020
1590,Snohomish,4401,5,2020
1591,Spokane,721,5,2020
1592,Stevens,34,5,2020
1593,Thurston,1136,5,2020
1594,Wahkiakum,6,5,2020
1595,Walla Walla,70,5,2020
1596,Whatcom,1063,5,2020
1597,Whitman,45,5,2020
1598,Yakima,132,5,2020
1599,Adams,9,6,2020
1600,Asotin,16,6,2020
1601,Benton,359,6,2020
1602,Chelan,231,6,2020
1603,Clallam,229,6,2020
1604,Clark,2014,6,2020
1605,Columbia,4,6,2020
1606,Cowlitz,138,6,2020
1607,Douglas,71,6,2020
1608,Ferry,5,6,2020
1609,Franklin,60,6,2020
1610,Garfield,0,6,2020
1611,Grant,59,6,2020
1612,Grays Harbor,106,6,2020
1613,Island,421,6,2020
1614,Jefferson,236,6,2020
1615,King,24112,6,2020
1616,Kitsap,1330,6,2020
1617,Kittitas,99,6,2020
1618,Klickitat,53,6,2020
1619,Lewis,102,6,2020
1620,Lincoln,5,6,2020
1621,Mason,159,6,2020
1622,Okanogan,36,6,2020
1623,Pacific,33,6,2020
1624,Pend Oreille,7,6,2020
1625,Pierce,2380,6,2020
1626,San Juan,302,6,2020
1627,Skagit,408,6,2020
1628,Skamania,31,6,2020
1629,Snohomish,4433,6,2020
1630,Spokane,730,6,2020
1631,Stevens,36,6,2020
1632,Thurston,1143,6,2020
1633,Wahkiakum,6,6,2020
1634,Walla Walla,73,6,2020
1635,Whatcom,1067,6,2020
1636,Whitman,44,6,2020
1637,Yakima,133,6,2020
1638,Adams,9,7,2020
1639,Asotin,16,7,2020
1640,Benton,373,7,2020
1641,Chelan,240,7,2020
1642,Clallam,238,7,2020
1643,Clark,2097,7,2020
1644,Columbia,4,7,2020
1645,Cowlitz,146,7,2020
1646,Douglas,75,7,2020
1647,Ferry,7,7,2020
1648,Franklin,65,7,2020
1649,Garfield,0,7,2020
1650,Grant,61,7,2020
1651,Grays Harbor,109,7,2020
1652,Island,431,7,2020
1653,Jefferson,249,7,2020
1654,King,24909,7,2020
1655,Kitsap,1377,7,2020
1656,Kittitas,104,7,2020
1657,Klickitat,56,7,2020
1658,Lewis,107,7,2020
1659,Lincoln,5,7,2020
1660,Mason,160,7,2020
1661,Okanogan,37,7,2020
1662,Pacific,33,7,2020
1663,Pend Oreille,7,7,2020
1664,Pierce,2467,7,2020
1665,San Juan,311,7,2020
1666,Skagit,424,7,2020
1667,Skamania,31,7,2020
1668,Snohomish,4581,7,2020
1669,Spokane,753,7,2020
1670,Stevens,37,7,2020
1671,Thurston,1175,7,2020
1672,Wahkiakum,6,7,2020
1673,Walla Walla,77,7,2020
1674,Whatcom,1094,7,2020
1675,Whitman,45,7,2020
1676,Yakima,140,7,2020
1677,Adams,9,8,2020
1678,Asotin,17,8,2020
1679,Benton,380,8,2020
1680,Chelan,248,8,2020
1681,Clallam,240,8,2020
1682,Clark,2135,8,2020
1683,Columbia,3,8,2020
1684,Cowlitz,152,8,2020
1685,Douglas,77,8,2020
1686,Ferry,7,8,2020
1687,Franklin,66,8,2020
1688,Garfield,0,8,2020
1689,Grant,66,8,2020
1690,Grays Harbor,111,8,2020
1691,Island,435,8,2020
1692,Jefferson,249,8,2020
1693,King,25175,8,2020
1694,Kitsap,1400,8,2020
1695,Kittitas,110,8,2020
1696,Klickitat,57,8,2020
1697,Lewis,112,8,2020
1698,Lincoln,5,8,2020
1699,Mason,162,8,2020
1700,Okanogan,40,8,2020
1701,Pacific,32,8,2020
1702,Pend Oreille,8,8,2020
1703,Pierce,2519,8,2020
1704,San Juan,320,8,2020
1705,Skagit,433,8,2020
1706,Skamania,31,8,2020
1707,Snohomish,4644,8,2020
1708,Spokane,781,8,2020
1709,Stevens,35,8,2020
1710,Thurston,1194,8,2020
1711,Wahkiakum,6,8,2020
1712,Walla Walla,81,8,2020
1713,Whatcom,1114,8,2020
1714,Whitman,46,8,2020
1715,Yakima,147,8,2020
1716,Adams,8,9,2020
1717,Asotin,17,9,2020
1718,Benton,394,9,2020
1719,Chelan,260,9,2020
1720,Clallam,246,9,2020
1721,Clark,2174,9,2020
1722,Columbia,4,9,2020
1723,Cowlitz,157,9,2020
1724,Douglas,79,9,2020
1725,Ferry,8,9,2020
1726,Franklin,68,9,2020
1727,Garfield,0,9,2020
1728,Grant,67,9,2020
1729,Grays Harbor,115,9,2020
1730,Island,445,9,2020
1731,Jefferson,257,9,2020
1732,King,25391,9,2020
1733,Kitsap,1426,9,2020
1734,Kittitas,113,9,2020
1735,Klickitat,58,9,2020
1736,Lewis,111,9,2020
1737,Lincoln,5,9,2020
1738,Mason,162,9,2020
1739,Okanogan,45,9,2020
1740,Pacific,32,9,2020
1741,Pend Oreille,8,9,2020
1742,Pierce,2575,9,2020
1743,San Juan,331,9,2020
1744,Skagit,448,9,2020
1745,Skamania,32,9,2020
1746,Snohomish,4693,9,2020
1747,Spokane,797,9,2020
1748,Stevens,35,9,2020
1749,Thurston,1211,9,2020
1750,Wahkiakum,6,9,2020
1751,Walla Walla,86,9,2020
1752,Whatcom,1143,9,2020
1753,Whitman,47,9,2020
1754,Yakima,155,9,2020
1755,Adams,8,10,2020
1756,Asotin,17,10,2020
1757,Benton,403,10,2020
1758,Chelan,265,10,2020
1759,Clallam,253,10,2020
1760,Clark,2212,10,2020
1761,Columbia,4,10,2020
1762,Cowlitz,160,10,2020
1763,Douglas,80,10,2020
1764,Ferry,8,10,2020
1765,Franklin,73,10,2020
1766,Garfield,0,10,2020
1767,Grant,71,10,2020
1768,Grays Harbor,118,10,2020
1769,Island,464,10,2020
1770,Jefferson,260,10,2020
1771,King,25878,10,2020
1772,Kitsap,1464,10,2020
1773,Kittitas,121,10,2020
1774,Klickitat,59,10,2020
1775,Lewis,114,10,2020
1776,Lincoln,5,10,2020
1777,Mason,165,10,2020
1778,Okanogan,47,10,2020
1779,Pacific,34,10,2020
1780,Pend Oreille,8,10,2020
1781,Pierce,2660,10,2020
1782,San Juan,340,10,2020
1783,Skagit,467,10,2020
1784,Skamania,32,10,2020
1785,Snohomish,4830,10,2020
1786,Spokane,827,10,2020
1787,Stevens,36,10,2020
1788,Thurston,1254,10,2020
1789,Wahkiakum,6,10,2020
1790,Walla Walla,86,10,2020
1791,Whatcom,1172,10,2020
1792,Whitman,50,10,2020
1793,Yakima,158,10,2020
1794,Adams,10,11,2020
1795,Asotin,17,11,2020
1796,Benton,426,11,2020
1797,Chelan,271,11,2020
1798,Clallam,263,11,2020
1799,Clark,2284,11,2020
1800,Columbia,4,11,2020
1801,Cowlitz,170,11,2020
1802,Douglas,82,11,2020
1803,Ferry,8,11,2020
1804,Franklin,78,11,2020
1805,Garfield,0,11,2020
1806,Grant,78,11,2020
1807,Grays Harbor,122,11,2020
1808,Island,480,11,2020
1809,Jefferson,276,11,2020
1810,King,26601,11,2020
1811,Kitsap,1520,11,2020
1812,Kittitas,125,11,2020
1813,Klickitat,62,11,2020
1814,Lewis,117,11,2020
1815,Lincoln,5,11,2020
1816,Mason,169,11,2020
1817,Okanogan,51,11,2020
1818,Pacific,36,11,2020
1819,Pend Oreille,9,11,2020
1820,Pierce,2759,11,2020
1821,San Juan,355,11,2020
1822,Skagit,482,11,2020
1823,Skamania,33,11,2020
1824,Snohomish,4955,11,2020
1825,Spokane,858,11,2020
1826,Stevens,36,11,2020
1827,Thurston,1290,11,2020
1828,Wahkiakum,6,11,2020
1829,Walla Walla,95,11,2020
1830,Whatcom,1206,11,2020
1831,Whitman,51,11,2020
1832,Yakima,167,11,2020
1833,Adams,10,12,2020
1834,Asotin,16,12,2020
1835,Benton,440,12,2020
1836,Chelan,278,12,2020
1837,Clallam,274,12,2020
1838,Clark,2356,12,2020
1839,Columbia,5,12,2020
1840,Cowlitz,177,12,2020
1841,Douglas,86,12,2020
1842,Ferry,9,12,2020
1843,Franklin,85,12,2020
1844,Garfield,0,12,2020
1845,Grant,80,12,2020
1846,Grays Harbor,127,12,2020
1847,Island,507,12,2020
1848,Jefferson,285,12,2020
1849,King,26918,12,2020
1850,Kitsap,1555,12,2020
1851,Kittitas,127,12,2020
1852,Klickitat,62,12,2020
1853,Lewis,123,12,2020
1854,Lincoln,5,12,2020
1855,Mason,173,12,2020
1856,Okanogan,55,12,2020
1857,Pacific,34,12,2020
1858,Pend Oreille,12,12,2020
1859,Pierce,2825,12,2020
1860,San Juan,365,12,2020
1861,Skagit,498,12,2020
1862,Skamania,33,12,2020
1863,Snohomish,5035,12,2020
1864,Spokane,885,12,2020
1865,Stevens,36,12,2020
1866,Thurston,1321,12,2020
1867,Wahkiakum,6,12,2020
1868,Walla Walla,98,12,2020
