,Date,County,Battery Electric Vehicles (BEVs)
194,2017-05-31,Yakima,42
195,2017-06-30,Adams,2
196,2017-06-30,Asotin,6
197,2017-06-30,Benton,148
198,2017-06-30,Chelan,67
199,2017-06-30,Clallam,90
200,2017-06-30,Clark,787
201,2017-06-30,Columbia,1
202,2017-06-30,Cowlitz,50
203,2017-06-30,Douglas,34
204,2017-06-30,Ferry,1
205,2017-06-30,Franklin,26
206,2017-06-30,Garfield,0
207,2017-06-30,Grant,20
208,2017-06-30,Grays Harbor,35
209,2017-06-30,Island,117
210,2017-06-30,Jefferson,104
211,2017-06-30,King,10033
212,2017-06-30,Kitsap,606
213,2017-06-30,Kittitas,21
214,2017-06-30,Klickitat,23
215,2017-06-30,Lewis,51
216,2017-06-30,Lincoln,2
217,2017-06-30,Mason,56
218,2017-06-30,Okanogan,4
219,2017-06-30,Pacific,10
220,2017-06-30,Pend Oreille,3
221,2017-06-30,Pierce,956
222,2017-06-30,San Juan,107
223,2017-06-30,Skagit,141
224,2017-06-30,Skamania,9
225,2017-06-30,Snohomish,1794
226,2017-06-30,Spokane,254
227,2017-06-30,Stevens,8
228,2017-06-30,Thurston,398
229,2017-06-30,Wahkiakum,0
230,2017-06-30,Walla Walla,25
231,2017-06-30,Whatcom,464
232,2017-06-30,Whitman,10
233,2017-06-30,Yakima,45
234,2017-07-31,Adams,3
235,2017-07-31,Asotin,8
236,2017-07-31,Benton,155
237,2017-07-31,Chelan,68
238,2017-07-31,Clallam,93
239,2017-07-31,Clark,795
240,2017-07-31,Columbia,1
241,2017-07-31,Cowlitz,52
242,2017-07-31,Douglas,35
243,2017-07-31,Ferry,1
244,2017-07-31,Franklin,26
245,2017-07-31,Garfield,0
246,2017-07-31,Grant,19
247,2017-07-31,Grays Harbor,36
248,2017-07-31,Island,121
249,2017-07-31,Jefferson,107
250,2017-07-31,King,10260
251,2017-07-31,Kitsap,623
252,2017-07-31,Kittitas,24
253,2017-07-31,Klickitat,23
254,2017-07-31,Lewis,52
255,2017-07-31,Lincoln,2
256,2017-07-31,Mason,57
257,2017-07-31,Okanogan,4
258,2017-07-31,Pacific,10
259,2017-07-31,Pend Oreille,3
260,2017-07-31,Pierce,986
261,2017-07-31,San Juan,112
262,2017-07-31,Skagit,142
263,2017-07-31,Skamania,9
264,2017-07-31,Snohomish,1819
265,2017-07-31,Spokane,263
266,2017-07-31,Stevens,8
267,2017-07-31,Thurston,418
268,2017-07-31,Wahkiakum,0
269,2017-07-31,Walla Walla,27
270,2017-07-31,Whatcom,476
271,2017-07-31,Whitman,12
272,2017-07-31,Yakima,49
273,2017-08-31,Adams,3
274,2017-08-31,Asotin,8
275,2017-08-31,Benton,161
276,2017-08-31,Chelan,72
277,2017-08-31,Clallam,96
278,2017-08-31,Clark,794
279,2017-08-31,Columbia,1
280,2017-08-31,Cowlitz,50
281,2017-08-31,Douglas,35
282,2017-08-31,Ferry,1
283,2017-08-31,Franklin,27
284,2017-08-31,Garfield,1
285,2017-08-31,Grant,19
286,2017-08-31,Grays Harbor,37
287,2017-08-31,Island,124
288,2017-08-31,Jefferson,112
289,2017-08-31,King,10445
