,Date,County,Battery Electric Vehicles (BEVs)
850,2018-10-31,Spokane,383
851,2018-10-31,Stevens,14
852,2018-10-31,Thurston,663
853,2018-10-31,Wahkiakum,1
854,2018-10-31,Walla Walla,36
855,2018-10-31,Whatcom,702
856,2018-10-31,Whitman,19
857,2018-10-31,Yakima,71
858,2018-11-30,Adams,5
859,2018-11-30,Asotin,12
860,2018-11-30,Benton,210
861,2018-11-30,Chelan,135
862,2018-11-30,Clallam,147
863,2018-11-30,Clark,1188
864,2018-11-30,Columbia,2
865,2018-11-30,Cowlitz,69
866,2018-11-30,Douglas,49
867,2018-11-30,Ferry,3
868,2018-11-30,Franklin,38
869,2018-11-30,Garfield,1
870,2018-11-30,Grant,32
871,2018-11-30,Grays Harbor,61
872,2018-11-30,Island,266
873,2018-11-30,Jefferson,169
874,2018-11-30,King,15787
875,2018-11-30,Kitsap,916
876,2018-11-30,Kittitas,61
877,2018-11-30,Klickitat,23
878,2018-11-30,Lewis,89
879,2018-11-30,Lincoln,2
880,2018-11-30,Mason,103
881,2018-11-30,Okanogan,15
882,2018-11-30,Pacific,20
883,2018-11-30,Pend Oreille,5
884,2018-11-30,Pierce,1470
885,2018-11-30,San Juan,176
886,2018-11-30,Skagit,250
887,2018-11-30,Skamania,18
888,2018-11-30,Snohomish,2790
889,2018-11-30,Spokane,408
890,2018-11-30,Stevens,16
891,2018-11-30,Thurston,707
892,2018-11-30,Wahkiakum,1
893,2018-11-30,Walla Walla,38
894,2018-11-30,Whatcom,732
895,2018-11-30,Whitman,20
896,2018-11-30,Yakima,78
897,2018-12-31,Adams,5
898,2018-12-31,Asotin,12
899,2018-12-31,Benton,227
900,2018-12-31,Chelan,140
901,2018-12-31,Clallam,150
902,2018-12-31,Clark,1246
903,2018-12-31,Columbia,2
904,2018-12-31,Cowlitz,72
905,2018-12-31,Douglas,50
906,2018-12-31,Ferry,3
907,2018-12-31,Franklin,45
908,2018-12-31,Garfield,1
909,2018-12-31,Grant,32
910,2018-12-31,Grays Harbor,62
911,2018-12-31,Island,276
912,2018-12-31,Jefferson,168
913,2018-12-31,King,16283
914,2018-12-31,Kitsap,946
915,2018-12-31,Kittitas,66
916,2018-12-31,Klickitat,28
917,2018-12-31,Lewis,93
918,2018-12-31,Lincoln,2
919,2018-12-31,Mason,107
920,2018-12-31,Okanogan,16
921,2018-12-31,Pacific,21
922,2018-12-31,Pend Oreille,5
923,2018-12-31,Pierce,1509
924,2018-12-31,San Juan,183
925,2018-12-31,Skagit,260
926,2018-12-31,Skamania,16
927,2018-12-31,Snohomish,2915
928,2018-12-31,Spokane,439
929,2018-12-31,Stevens,16
930,2018-12-31,Thurston,739
931,2018-12-31,Wahkiakum,1
932,2018-12-31,Walla Walla,41
933,2018-12-31,Whatcom,759
934,2018-12-31,Whitman,24
935,2018-12-31,Yakima,82
936,2019-01-31,Adams,5
937,2019-01-31,Asotin,12
938,2019-01-31,Benton,232
939,2019-01-31,Chelan,140
940,2019-01-31,Clallam,152
941,2019-01-31,Clark,1313
942,2019-01-31,Columbia,2
943,2019-01-31,Cowlitz,79
944,2019-01-31,Douglas,51
945,2019-01-31,Ferry,3
946,2019-01-31,Franklin,49
947,2019-01-31,Garfield,1
948,2019-01-31,Grant,33
949,2019-01-31,Grays Harbor,67
950,2019-01-31,Island,288
951,2019-01-31,Jefferson,175
952,2019-01-31,King,17170
953,2019-01-31,Kitsap,981
954,2019-01-31,Kittitas,69
955,2019-01-31,Klickitat,29
956,2019-01-31,Lewis,95
957,2019-01-31,Lincoln,2
958,2019-01-31,Mason,108
959,2019-01-31,Okanogan,18
960,2019-01-31,Pacific,22
961,2019-01-31,Pend Oreille,5
962,2019-01-31,Pierce,1581
963,2019-01-31,San Juan,190
964,2019-01-31,Skagit,271
965,2019-01-31,Skamania,18
966,2019-01-31,Snohomish,3075
967,2019-01-31,Spokane,471
968,2019-01-31,Stevens,18
969,2019-01-31,Thurston,771
970,2019-01-31,Wahkiakum,1
971,2019-01-31,Walla Walla,42
972,2019-01-31,Whatcom,780
973,2019-01-31,Whitman,24
974,2019-01-31,Yakima,84
975,2019-02-28,Adams,4
976,2019-02-28,Asotin,12
977,2019-02-28,Benton,233
978,2019-02-28,Chelan,145
979,2019-02-28,Clallam,153
980,2019-02-28,Clark,1337
981,2019-02-28,Columbia,2
982,2019-02-28,Cowlitz,82
983,2019-02-28,Douglas,52
984,2019-02-28,Ferry,3
985,2019-02-28,Franklin,50
986,2019-02-28,Garfield,1
987,2019-02-28,Grant,33
988,2019-02-28,Grays Harbor,66
989,2019-02-28,Island,294
990,2019-02-28,Jefferson,179
991,2019-02-28,King,17531
992,2019-02-28,Kitsap,988
993,2019-02-28,Kittitas,73
994,2019-02-28,Klickitat,30
995,2019-02-28,Lewis,96
996,2019-02-28,Lincoln,3
997,2019-02-28,Mason,109
998,2019-02-28,Okanogan,19
999,2019-02-28,Pacific,22
1000,2019-02-28,Pend Oreille,5
1001,2019-02-28,Pierce,1611
1002,2019-02-28,San Juan,193
1003,2019-02-28,Skagit,279
1004,2019-02-28,Skamania,20
1005,2019-02-28,Snohomish,3146
1006,2019-02-28,Spokane,481
1007,2019-02-28,Stevens,18
1008,2019-02-28,Thurston,782
1009,2019-02-28,Wahkiakum,1
1010,2019-02-28,Walla Walla,43
1011,2019-02-28,Whatcom,787
1012,2019-02-28,Whitman,25
1013,2019-02-28,Yakima,86
1014,2019-03-31,Adams,4
1015,2019-03-31,Asotin,12
1016,2019-03-31,Benton,236
1017,2019-03-31,Chelan,144
1018,2019-03-31,Clallam,154
1019,2019-03-31,Clark,1358
1020,2019-03-31,Columbia,2
1021,2019-03-31,Cowlitz,84
1022,2019-03-31,Douglas,53
1023,2019-03-31,Ferry,3
1024,2019-03-31,Franklin,52
1025,2019-03-31,Garfield,1
1026,2019-03-31,Grant,34
1027,2019-03-31,Grays Harbor,69
1028,2019-03-31,Island,300
1029,2019-03-31,Jefferson,179
1030,2019-03-31,King,17681
1031,2019-03-31,Kitsap,997
1032,2019-03-31,Kittitas,71
1033,2019-03-31,Klickitat,32
1034,2019-03-31,Lewis,95
1035,2019-03-31,Lincoln,3
1036,2019-03-31,Mason,114
1037,2019-03-31,Okanogan,20
1038,2019-03-31,Pacific,23
1039,2019-03-31,Pend Oreille,5
1040,2019-03-31,Pierce,1635
1041,2019-03-31,San Juan,197
1042,2019-03-31,Skagit,282
1043,2019-03-31,Skamania,21
1044,2019-03-31,Snohomish,3195
1045,2019-03-31,Spokane,491
1046,2019-03-31,Stevens,18
1047,2019-03-31,Thurston,802
1048,2019-03-31,Wahkiakum,1
1049,2019-03-31,Walla Walla,44
1050,2019-03-31,Whatcom,794
1051,2019-03-31,Whitman,27
1052,2019-03-31,Yakima,89
1053,2019-04-30,Adams,5
1054,2019-04-30,Asotin,12
1055,2019-04-30,Benton,248
1056,2019-04-30,Chelan,147
1057,2019-04-30,Clallam,160
1058,2019-04-30,Clark,1414
1059,2019-04-30,Columbia,2
1060,2019-04-30,Cowlitz,89
1061,2019-04-30,Douglas,55
1062,2019-04-30,Ferry,4
1063,2019-04-30,Franklin,53
1064,2019-04-30,Garfield,1
1065,2019-04-30,Grant,35
1066,2019-04-30,Grays Harbor,70
1067,2019-04-30,Island,310
1068,2019-04-30,Jefferson,187
1069,2019-04-30,King,18279
1070,2019-04-30,Kitsap,1008
1071,2019-04-30,Kittitas,71
1072,2019-04-30,Klickitat,33
1073,2019-04-30,Lewis,95
1074,2019-04-30,Lincoln,3
1075,2019-04-30,Mason,117
1076,2019-04-30,Okanogan,20
1077,2019-04-30,Pacific,23
1078,2019-04-30,Pend Oreille,4
1079,2019-04-30,Pierce,1692
1080,2019-04-30,San Juan,204
1081,2019-04-30,Skagit,293
1082,2019-04-30,Skamania,21
1083,2019-04-30,Snohomish,3292
1084,2019-04-30,Spokane,512
1085,2019-04-30,Stevens,19
1086,2019-04-30,Thurston,821
1087,2019-04-30,Wahkiakum,1
1088,2019-04-30,Walla Walla,46
1089,2019-04-30,Whatcom,825
1090,2019-04-30,Whitman,29
1091,2019-04-30,Yakima,93
1092,2019-05-31,Adams,5
1093,2019-05-31,Asotin,12
1094,2019-05-31,Benton,253
1095,2019-05-31,Chelan,153
1096,2019-05-31,Clallam,167
1097,2019-05-31,Clark,1475
1098,2019-05-31,Columbia,2
1099,2019-05-31,Cowlitz,95
1100,2019-05-31,Douglas,56
1101,2019-05-31,Ferry,5
1102,2019-05-31,Franklin,52
1103,2019-05-31,Garfield,1
1104,2019-05-31,Grant,39
1105,2019-05-31,Grays Harbor,73
1106,2019-05-31,Island,315
1107,2019-05-31,Jefferson,191
1108,2019-05-31,King,18618
1109,2019-05-31,Kitsap,1035
1110,2019-05-31,Kittitas,72
1111,2019-05-31,Klickitat,35
1112,2019-05-31,Lewis,97
1113,2019-05-31,Lincoln,3
1114,2019-05-31,Mason,121
1115,2019-05-31,Okanogan,21
1116,2019-05-31,Pacific,24
1117,2019-05-31,Pend Oreille,4
1118,2019-05-31,Pierce,1751
1119,2019-05-31,San Juan,207
1120,2019-05-31,Skagit,293
1121,2019-05-31,Skamania,23
1122,2019-05-31,Snohomish,3372
1123,2019-05-31,Spokane,529
1124,2019-05-31,Stevens,20
1125,2019-05-31,Thurston,844
1126,2019-05-31,Wahkiakum,2
1127,2019-05-31,Walla Walla,46
1128,2019-05-31,Whatcom,839
1129,2019-05-31,Whitman,31
1130,2019-05-31,Yakima,94
1131,2019-06-30,Adams,5
1132,2019-06-30,Asotin,12
1133,2019-06-30,Benton,259
1134,2019-06-30,Chelan,157
1135,2019-06-30,Clallam,174
1136,2019-06-30,Clark,1538
1137,2019-06-30,Columbia,2
1138,2019-06-30,Cowlitz,98
1139,2019-06-30,Douglas,57
1140,2019-06-30,Ferry,5
1141,2019-06-30,Franklin,52
1142,2019-06-30,Garfield,1
1143,2019-06-30,Grant,41
1144,2019-06-30,Grays Harbor,73
1145,2019-06-30,Island,317
1146,2019-06-30,Jefferson,197
1147,2019-06-30,King,19082
1148,2019-06-30,Kitsap,1049
1149,2019-06-30,Kittitas,81
1150,2019-06-30,Klickitat,35
1151,2019-06-30,Lewis,99
1152,2019-06-30,Lincoln,2
1153,2019-06-30,Mason,124
1154,2019-06-30,Okanogan,22
1155,2019-06-30,Pacific,25
1156,2019-06-30,Pend Oreille,4
1157,2019-06-30,Pierce,1808
1158,2019-06-30,San Juan,212
1159,2019-06-30,Skagit,299
1160,2019-06-30,Skamania,23
1161,2019-06-30,Snohomish,3472
1162,2019-06-30,Spokane,539
1163,2019-06-30,Stevens,19
1164,2019-06-30,Thurston,875
1165,2019-06-30,Wahkiakum,2
1166,2019-06-30,Walla Walla,49
1167,2019-06-30,Whatcom,855
1168,2019-06-30,Whitman,31
1169,2019-06-30,Yakima,105
1170,2019-07-31,Adams,5
1171,2019-07-31,Asotin,12
1172,2019-07-31,Benton,270
1173,2019-07-31,Chelan,161
1174,2019-07-31,Clallam,178
1175,2019-07-31,Clark,1588
1176,2019-07-31,Columbia,2
1177,2019-07-31,Cowlitz,106
1178,2019-07-31,Douglas,60
1179,2019-07-31,Ferry,5
1180,2019-07-31,Franklin,53
1181,2019-07-31,Garfield,1
1182,2019-07-31,Grant,43
1183,2019-07-31,Grays Harbor,82
1184,2019-07-31,Island,328
1185,2019-07-31,Jefferson,202
1186,2019-07-31,King,19629
1187,2019-07-31,Kitsap,1092
1188,2019-07-31,Kittitas,79
1189,2019-07-31,Klickitat,35
1190,2019-07-31,Lewis,100
1191,2019-07-31,Lincoln,2
1192,2019-07-31,Mason,127
1193,2019-07-31,Okanogan,23
1194,2019-07-31,Pacific,24
1195,2019-07-31,Pend Oreille,4
1196,2019-07-31,Pierce,1877
1197,2019-07-31,San Juan,220
1198,2019-07-31,Skagit,308
1199,2019-07-31,Skamania,25
1200,2019-07-31,Snohomish,3555
1201,2019-07-31,Spokane,557
1202,2019-07-31,Stevens,19
1203,2019-07-31,Thurston,905
1204,2019-07-31,Wahkiakum,2
1205,2019-07-31,Walla Walla,52
1206,2019-07-31,Whatcom,885
1207,2019-07-31,Whitman,33
1208,2019-07-31,Yakima,109
1209,2019-08-31,Adams,5
1210,2019-08-31,Asotin,12
1211,2019-08-31,Benton,280
1212,2019-08-31,Chelan,165
1213,2019-08-31,Clallam,185
1214,2019-08-31,Clark,1647
1215,2019-08-31,Columbia,2
1216,2019-08-31,Cowlitz,107
1217,2019-08-31,Douglas,61
1218,2019-08-31,Ferry,5
1219,2019-08-31,Franklin,51
1220,2019-08-31,Garfield,0
1221,2019-08-31,Grant,45
1222,2019-08-31,Grays Harbor,88
1223,2019-08-31,Island,335
1224,2019-08-31,Jefferson,205
1225,2019-08-31,King,20008
1226,2019-08-31,Kitsap,1113
1227,2019-08-31,Kittitas,79
1228,2019-08-31,Klickitat,37
1229,2019-08-31,Lewis,105
1230,2019-08-31,Lincoln,2
1231,2019-08-31,Mason,130
1232,2019-08-31,Okanogan,25
1233,2019-08-31,Pacific,23
1234,2019-08-31,Pend Oreille,5
1235,2019-08-31,Pierce,1930
1236,2019-08-31,San Juan,225
1237,2019-08-31,Skagit,311
1238,2019-08-31,Skamania,25
1239,2019-08-31,Snohomish,3640
1240,2019-08-31,Spokane,575
1241,2019-08-31,Stevens,22
1242,2019-08-31,Thurston,927
1243,2019-08-31,Wahkiakum,2
1244,2019-08-31,Walla Walla,56
1245,2019-08-31,Whatcom,904
1246,2019-08-31,Whitman,34
1247,2019-08-31,Yakima,112
1248,2019-09-30,Adams,5
1249,2019-09-30,Asotin,12
1250,2019-09-30,Benton,291
1251,2019-09-30,Chelan,174
1252,2019-09-30,Clallam,186
1253,2019-09-30,Clark,1700
1254,2019-09-30,Columbia,3
1255,2019-09-30,Cowlitz,106
1256,2019-09-30,Douglas,62
1257,2019-09-30,Ferry,5
1258,2019-09-30,Franklin,51
1259,2019-09-30,Garfield,0
1260,2019-09-30,Grant,48
1261,2019-09-30,Grays Harbor,89
1262,2019-09-30,Island,346
1263,2019-09-30,Jefferson,207
1264,2019-09-30,King,20425
1265,2019-09-30,Kitsap,1135
1266,2019-09-30,Kittitas,81
1267,2019-09-30,Klickitat,38
1268,2019-09-30,Lewis,107
1269,2019-09-30,Lincoln,2
1270,2019-09-30,Mason,133
1271,2019-09-30,Okanogan,24
1272,2019-09-30,Pacific,25
1273,2019-09-30,Pend Oreille,6
1274,2019-09-30,Pierce,1966
1275,2019-09-30,San Juan,229
1276,2019-09-30,Skagit,316
1277,2019-09-30,Skamania,26
1278,2019-09-30,Snohomish,3739
1279,2019-09-30,Spokane,596
1280,2019-09-30,Stevens,27
1281,2019-09-30,Thurston,953
1282,2019-09-30,Wahkiakum,2
1283,2019-09-30,Walla Walla,59
1284,2019-09-30,Whatcom,924
1285,2019-09-30,Whitman,36
1286,2019-09-30,Yakima,112
1287,2019-10-31,Adams,6
1288,2019-10-31,Asotin,12
1289,2019-10-31,Benton,307
1290,2019-10-31,Chelan,191
1291,2019-10-31,Clallam,195
1292,2019-10-31,Clark,1782
1293,2019-10-31,Columbia,3
1294,2019-10-31,Cowlitz,112
1295,2019-10-31,Douglas,63
1296,2019-10-31,Ferry,5
1297,2019-10-31,Franklin,53
1298,2019-10-31,Garfield,0
1299,2019-10-31,Grant,55
1300,2019-10-31,Grays Harbor,95
1301,2019-10-31,Island,362
1302,2019-10-31,Jefferson,210
1303,2019-10-31,King,21371
1304,2019-10-31,Kitsap,1178
1305,2019-10-31,Kittitas,87
1306,2019-10-31,Klickitat,43
1307,2019-10-31,Lewis,108
1308,2019-10-31,Lincoln,2
1309,2019-10-31,Mason,140
1310,2019-10-31,Okanogan,24
1311,2019-10-31,Pacific,30
1312,2019-10-31,Pend Oreille,7
1313,2019-10-31,Pierce,2058
1314,2019-10-31,San Juan,236
1315,2019-10-31,Skagit,337
1316,2019-10-31,Skamania,25
1317,2019-10-31,Snohomish,3896
1318,2019-10-31,Spokane,616
1319,2019-10-31,Stevens,29
1320,2019-10-31,Thurston,1005
1321,2019-10-31,Wahkiakum,4
1322,2019-10-31,Walla Walla,62
1323,2019-10-31,Whatcom,951
1324,2019-10-31,Whitman,38
1325,2019-10-31,Yakima,116
1326,2019-11-30,Adams,6
1327,2019-11-30,Asotin,13
1328,2019-11-30,Benton,310
1329,2019-11-30,Chelan,196
1330,2019-11-30,Clallam,196
1331,2019-11-30,Clark,1806
1332,2019-11-30,Columbia,3
1333,2019-11-30,Cowlitz,114
1334,2019-11-30,Douglas,65
1335,2019-11-30,Ferry,5
1336,2019-11-30,Franklin,53
1337,2019-11-30,Garfield,0
1338,2019-11-30,Grant,53
1339,2019-11-30,Grays Harbor,99
1340,2019-11-30,Island,364
1341,2019-11-30,Jefferson,212
1342,2019-11-30,King,21602
1343,2019-11-30,Kitsap,1191
1344,2019-11-30,Kittitas,89
1345,2019-11-30,Klickitat,45
1346,2019-11-30,Lewis,109
1347,2019-11-30,Lincoln,1
1348,2019-11-30,Mason,140
1349,2019-11-30,Okanogan,27
1350,2019-11-30,Pacific,29
1351,2019-11-30,Pend Oreille,7
1352,2019-11-30,Pierce,2083
1353,2019-11-30,San Juan,243
1354,2019-11-30,Skagit,348
1355,2019-11-30,Skamania,26
1356,2019-11-30,Snohomish,3942
1357,2019-11-30,Spokane,631
1358,2019-11-30,Stevens,31
1359,2019-11-30,Thurston,1035
1360,2019-11-30,Wahkiakum,4
1361,2019-11-30,Walla Walla,64
1362,2019-11-30,Whatcom,966
1363,2019-11-30,Whitman,41
1364,2019-11-30,Yakima,118
1365,2019-12-31,Adams,6
1366,2019-12-31,Asotin,14
1367,2019-12-31,Benton,315
1368,2019-12-31,Chelan,201
1369,2019-12-31,Clallam,197
1370,2019-12-31,Clark,1843
1371,2019-12-31,Columbia,3
1372,2019-12-31,Cowlitz,118
1373,2019-12-31,Douglas,67
1374,2019-12-31,Ferry,5
1375,2019-12-31,Franklin,54
1376,2019-12-31,Garfield,0
1377,2019-12-31,Grant,55
1378,2019-12-31,Grays Harbor,105
1379,2019-12-31,Island,376
1380,2019-12-31,Jefferson,217
1381,2019-12-31,King,21955
1382,2019-12-31,Kitsap,1200
1383,2019-12-31,Kittitas,90
1384,2019-12-31,Klickitat,46
1385,2019-12-31,Lewis,106
1386,2019-12-31,Lincoln,1
1387,2019-12-31,Mason,142
1388,2019-12-31,Okanogan,30
1389,2019-12-31,Pacific,30
1390,2019-12-31,Pend Oreille,7
1391,2019-12-31,Pierce,2127
1392,2019-12-31,San Juan,253
1393,2019-12-31,Skagit,364
1394,2019-12-31,Skamania,26
1395,2019-12-31,Snohomish,4020
1396,2019-12-31,Spokane,643
1397,2019-12-31,Stevens,31
1398,2019-12-31,Thurston,1052
1399,2019-12-31,Wahkiakum,4
1400,2019-12-31,Walla Walla,63
1401,2019-12-31,Whatcom,989
1402,2019-12-31,Whitman,42
1403,2019-12-31,Yakima,117
1404,2020-01-31,Adams,7
1405,2020-01-31,Asotin,17
1406,2020-01-31,Benton,337
1407,2020-01-31,Chelan,213
1408,2020-01-31,Clallam,204
1409,2020-01-31,Clark,1940
1410,2020-01-31,Columbia,3
1411,2020-01-31,Cowlitz,127
1412,2020-01-31,Douglas,69
1413,2020-01-31,Ferry,5
1414,2020-01-31,Franklin,57
1415,2020-01-31,Garfield,0
1416,2020-01-31,Grant,58
1417,2020-01-31,Grays Harbor,105
1418,2020-01-31,Island,393
1419,2020-01-31,Jefferson,224
1420,2020-01-31,King,23200
1421,2020-01-31,Kitsap,1259
1422,2020-01-31,Kittitas,93
1423,2020-01-31,Klickitat,48
1424,2020-01-31,Lewis,109
1425,2020-01-31,Lincoln,1
1426,2020-01-31,Mason,150
1427,2020-01-31,Okanogan,32
1428,2020-01-31,Pacific,30
1429,2020-01-31,Pend Oreille,8
1430,2020-01-31,Pierce,2229
1431,2020-01-31,San Juan,265
1432,2020-01-31,Skagit,379
1433,2020-01-31,Skamania,29
1434,2020-01-31,Snohomish,4243
1435,2020-01-31,Spokane,684
1436,2020-01-31,Stevens,33
1437,2020-01-31,Thurston,1093
1438,2020-01-31,Wahkiakum,4
1439,2020-01-31,Walla Walla,65
1440,2020-01-31,Whatcom,1035
1441,2020-01-31,Whitman,42
1442,2020-01-31,Yakima,121
1443,2020-02-29,Adams,7
1444,2020-02-29,Asotin,16
1445,2020-02-29,Benton,338
1446,2020-02-29,Chelan,216
1447,2020-02-29,Clallam,207
1448,2020-02-29,Clark,1970
1449,2020-02-29,Columbia,3
1450,2020-02-29,Cowlitz,128
1451,2020-02-29,Douglas,69
1452,2020-02-29,Ferry,5
1453,2020-02-29,Franklin,58
1454,2020-02-29,Garfield,0
1455,2020-02-29,Grant,58
1456,2020-02-29,Grays Harbor,109
1457,2020-02-29,Island,402
1458,2020-02-29,Jefferson,230
1459,2020-02-29,King,23450
1460,2020-02-29,Kitsap,1274
1461,2020-02-29,Kittitas,94
1462,2020-02-29,Klickitat,49
1463,2020-02-29,Lewis,108
1464,2020-02-29,Lincoln,1
1465,2020-02-29,Mason,150
1466,2020-02-29,Okanogan,34
1467,2020-02-29,Pacific,30
1468,2020-02-29,Pend Oreille,8
1469,2020-02-29,Pierce,2253
1470,2020-02-29,San Juan,279
1471,2020-02-29,Skagit,380
1472,2020-02-29,Skamania,28
1473,2020-02-29,Snohomish,4301
1474,2020-02-29,Spokane,696
1475,2020-02-29,Stevens,33
1476,2020-02-29,Thurston,1109
1477,2020-02-29,Wahkiakum,5
1478,2020-02-29,Walla Walla,68
1479,2020-02-29,Whatcom,1045
1480,2020-02-29,Whitman,42
1481,2020-02-29,Yakima,123
1482,2020-03-31,Adams,7
1483,2020-03-31,Asotin,16
1484,2020-03-31,Benton,344
1485,2020-03-31,Chelan,220
1486,2020-03-31,Clallam,215
1487,2020-03-31,Clark,1983
1488,2020-03-31,Columbia,3
1489,2020-03-31,Cowlitz,134
1490,2020-03-31,Douglas,71
1491,2020-03-31,Ferry,5
1492,2020-03-31,Franklin,58
1493,2020-03-31,Garfield,0
1494,2020-03-31,Grant,58
1495,2020-03-31,Grays Harbor,107
1496,2020-03-31,Island,407
1497,2020-03-31,Jefferson,234
1498,2020-03-31,King,23887
1499,2020-03-31,Kitsap,1298
1500,2020-03-31,Kittitas,98
1501,2020-03-31,Klickitat,51
1502,2020-03-31,Lewis,105
1503,2020-03-31,Lincoln,2
1504,2020-03-31,Mason,153
1505,2020-03-31,Okanogan,34
1506,2020-03-31,Pacific,29
1507,2020-03-31,Pend Oreille,8
1508,2020-03-31,Pierce,2310
1509,2020-03-31,San Juan,291
1510,2020-03-31,Skagit,392
1511,2020-03-31,Skamania,29
1512,2020-03-31,Snohomish,4369
1513,2020-03-31,Spokane,704
1514,2020-03-31,Stevens,33
1515,2020-03-31,Thurston,1131
1516,2020-03-31,Wahkiakum,6
1517,2020-03-31,Walla Walla,68
1518,2020-03-31,Whatcom,1060
1519,2020-03-31,Whitman,42
1520,2020-03-31,Yakima,125
1521,2020-04-30,Adams,7
1522,2020-04-30,Asotin,16
1523,2020-04-30,Benton,348
1524,2020-04-30,Chelan,224
1525,2020-04-30,Clallam,220
1526,2020-04-30,Clark,1992
1527,2020-04-30,Columbia,3
1528,2020-04-30,Cowlitz,136
1529,2020-04-30,Douglas,69
1530,2020-04-30,Ferry,5
1531,2020-04-30,Franklin,58
1532,2020-04-30,Garfield,0
1533,2020-04-30,Grant,59
1534,2020-04-30,Grays Harbor,106
1535,2020-04-30,Island,406
1536,2020-04-30,Jefferson,234
1537,2020-04-30,King,24088
1538,2020-04-30,Kitsap,1313
1539,2020-04-30,Kittitas,101
1540,2020-04-30,Klickitat,53
1541,2020-04-30,Lewis,99
1542,2020-04-30,Lincoln,4
1543,2020-04-30,Mason,155
1544,2020-04-30,Okanogan,34
1545,2020-04-30,Pacific,30
1546,2020-04-30,Pend Oreille,8
1547,2020-04-30,Pierce,2347
1548,2020-04-30,San Juan,295
1549,2020-04-30,Skagit,398
1550,2020-04-30,Skamania,29
1551,2020-04-30,Snohomish,4399
1552,2020-04-30,Spokane,711
1553,2020-04-30,Stevens,33
1554,2020-04-30,Thurston,1141
1555,2020-04-30,Wahkiakum,6
1556,2020-04-30,Walla Walla,69
1557,2020-04-30,Whatcom,1061
1558,2020-04-30,Whitman,44
1559,2020-04-30,Yakima,130
1560,2020-05-31,Adams,8
1561,2020-05-31,Asotin,16
1562,2020-05-31,Benton,354
1563,2020-05-31,Chelan,228
1564,2020-05-31,Clallam,223
1565,2020-05-31,Clark,2003
1566,2020-05-31,Columbia,4
1567,2020-05-31,Cowlitz,136
1568,2020-05-31,Douglas,69
1569,2020-05-31,Ferry,5
1570,2020-05-31,Franklin,58
1571,2020-05-31,Garfield,0
1572,2020-05-31,Grant,59
1573,2020-05-31,Grays Harbor,106
1574,2020-05-31,Island,410
1575,2020-05-31,Jefferson,233
1576,2020-05-31,King,24020
1577,2020-05-31,Kitsap,1312
1578,2020-05-31,Kittitas,102
1579,2020-05-31,Klickitat,53
1580,2020-05-31,Lewis,99
1581,2020-05-31,Lincoln,4
1582,2020-05-31,Mason,157
1583,2020-05-31,Okanogan,34
1584,2020-05-31,Pacific,31
1585,2020-05-31,Pend Oreille,7
1586,2020-05-31,Pierce,2351
1587,2020-05-31,San Juan,298
1588,2020-05-31,Skagit,401
1589,2020-05-31,Skamania,30
1590,2020-05-31,Snohomish,4401
1591,2020-05-31,Spokane,721
1592,2020-05-31,Stevens,34
1593,2020-05-31,Thurston,1136
1594,2020-05-31,Wahkiakum,6
1595,2020-05-31,Walla Walla,70
1596,2020-05-31,Whatcom,1063
1597,2020-05-31,Whitman,45
1598,2020-05-31,Yakima,132
1599,2020-06-30,Adams,9
1600,2020-06-30,Asotin,16
1601,2020-06-30,Benton,359
1602,2020-06-30,Chelan,231
1603,2020-06-30,Clallam,229
1604,2020-06-30,Clark,2014
1605,2020-06-30,Columbia,4
1606,2020-06-30,Cowlitz,138
1607,2020-06-30,Douglas,71
1608,2020-06-30,Ferry,5
1609,2020-06-30,Franklin,60
1610,2020-06-30,Garfield,0
1611,2020-06-30,Grant,59
1612,2020-06-30,Grays Harbor,106
1613,2020-06-30,Island,421
1614,2020-06-30,Jefferson,236
1615,2020-06-30,King,24112
1616,2020-06-30,Kitsap,1330
1617,2020-06-30,Kittitas,99
1618,2020-06-30,Klickitat,53
1619,2020-06-30,Lewis,102
1620,2020-06-30,Lincoln,5
1621,2020-06-30,Mason,159
1622,2020-06-30,Okanogan,36
1623,2020-06-30,Pacific,33
1624,2020-06-30,Pend Oreille,7
1625,2020-06-30,Pierce,2380
1626,2020-06-30,San Juan,302
1627,2020-06-30,Skagit,408
1628,2020-06-30,Skamania,31
1629,2020-06-30,Snohomish,4433
1630,2020-06-30,Spokane,730
1631,2020-06-30,Stevens,36
1632,2020-06-30,Thurston,1143
1633,2020-06-30,Wahkiakum,6
1634,2020-06-30,Walla Walla,73
1635,2020-06-30,Whatcom,1067
1636,2020-06-30,Whitman,44
1637,2020-06-30,Yakima,133
1638,2020-07-31,Adams,9
1639,2020-07-31,Asotin,16
1640,2020-07-31,Benton,373
1641,2020-07-31,Chelan,240
1642,2020-07-31,Clallam,238
1643,2020-07-31,Clark,2097
1644,2020-07-31,Columbia,4
1645,2020-07-31,Cowlitz,146
1646,2020-07-31,Douglas,75
1647,2020-07-31,Ferry,7
1648,2020-07-31,Franklin,65
1649,2020-07-31,Garfield,0
1650,2020-07-31,Grant,61
1651,2020-07-31,Grays Harbor,109
1652,2020-07-31,Island,431
1653,2020-07-31,Jefferson,249
1654,2020-07-31,King,24909
1655,2020-07-31,Kitsap,1377
1656,2020-07-31,Kittitas,104
1657,2020-07-31,Klickitat,56
1658,2020-07-31,Lewis,107
1659,2020-07-31,Lincoln,5
1660,2020-07-31,Mason,160
