Station Name,Street Address,Latitude,Longitude
NORAM BLOCK 7 #10,1525 121st Ave NE,47.622478,-122.178862
AMZ SEA106-2,10550 NE 10th St,47.619799,-122.199793
Hilton Garden Inn Bellevue,10777 Northeast 10th Street,47.6188924,-122.1969419
AMZ SEA106-5,10550 NE 10th St,47.61977,-122.199722
LINCOLN SQUARE LS NORTH DUAL 4,110 Bellevue Way NE,47.616294,-122.201029
NORAM BLOCK 7 #1,1525 121st Ave NE,47.622443,-122.178877
NORAM BLOCK 7 #12,1525 121st Ave NE,47.622449,-122.178919
BLOCK 16 FB BELLEVUE 2,1288 123rd Ave NE,47.621837,-122.175922
BELLEVUE SQUARE BELL SQ NORTH 2,Bellevue Square - North Building104th Ave NE,47.616939,-122.203004
ALLEY 111 CP2,11011 NE 9th St,47.618059,-122.192221
NORAM BLOCK 7 #8,1525 121st Ave NE,47.622438,-122.178891
NORAM BLOCK 7 #13,1525 121st Ave NE,47.622458,-122.178904
NORAM BLOCK 7 #6,1525 121st Ave NE,47.622439,-122.178864
ALLEY 111 CP1,11011 NE 9th St,47.618104,-122.19222
KORE Bellevue Technology Center,2125 158th Court NE Suite 110,47.6303953,-122.1284522
LINC SQUARE EXP LSS P2 106-107,440 Bellevue Way NE,47.614503,-122.201196
AMZ SEA106-1,10550 NE 10th St,47.619761,-122.199755
NORAM BLOCK 20 #6,1550 121st Ave NE,47.622504,-122.17756
NORAM BLOCK 7 #3,1525 121st Ave NE,47.622458,-122.178882
EASTGATE 15395 DUAL - #2,15395 SE 30th Pl,47.582154,-122.136594
"Eight Eighty-Eight Bellevue, LLC",888 108th Avenue NE,47.6184362,-122.1962934
Hampton Greens,4747 148th Ave NE,47.653125,-122.143971
ALLEY 111 CP8,11011 NE 9th St,47.617771,-122.192224
ALLEY 111 CP7,11011 NE 9th St,47.617821,-122.192223
BLOCK 16 FB BELLEVUE 16,1288 123rd Ave NE,47.622008,-122.175897
NORAM BLOCK 7 #2,1525 121st Ave NE,47.62245,-122.17886
ALLEY 111 CP6,11011 NE 9th St,47.617862,-122.192221
ALLEY 111 CP4,11011 NE 9th St,47.617957,-122.192223
LINCOLN SQUARE LS NORTH DUAL 3,110 Bellevue Way NE,47.616363,-122.201035
LINC SQUARE EXP LSS P2 102-103,440 Bellevue Way NE,47.614517,-122.200807
BELLEVUE PLACE BELL PLACE #2,575 Bellevue Way NE,47.618421,-122.20129
NORAM BLOCK 7 #14,1525 121st Ave NE,47.622467,-122.178891
LINC SQUARE EXP LSS P2 96 97,424 104th Ave NE,47.614302,-122.200871
LINC SQUARE EXP LSS P2 123-124,424 104th Ave NE,47.614315,-122.201099
NORAM BLOCK 7 #11,1525 121st Ave NE,47.622435,-122.178878
CCB CCB 1,500 108th Ave NE,47.61479,-122.195543
NORAM BLOCK 7 #7,1525 121st Ave NE,47.622463,-122.178858
805 156th NE Bellevue WA,805 156th NE,47.617634,-122.133439
ALLEY 111 CP3,11011 NE 9th St,47.618012,-122.192224
NORAM BLOCK 20 #10,1550 121st Ave NE,47.622495,-122.177544
NORAM BLOCK 20 #9,1550 121st Ave NE,47.622484,-122.17752
LNI Bellevue 120th NE,616 120th Aveneue NE,47.61541,-122.179484
NORAM BLOCK 7 #4,1525 121st Ave NE,47.622447,-122.178896
NORAM BLOCK 7 #9,1525 121st Ave NE,47.62244,-122.178907
The Meyden,10333 Main Street,47.6098443,-122.2024273
BELLEVUE SQUARE BELL SQ WEST #4,600 100th Ave NE,47.615943,-122.205532
BELLEVUE SQUARE BELL SQ NORTH 3,Bellevue Square - North Building104th Ave NE,47.616865,-122.202993
Courtyard by Marriott Seattle Bellevue/Downtown - Tesla Destination,11010 NE 8th St,47.617601,-122.193492
Marriott Bellevue - Tesla Destination,200 110th Ave,47.611844,-122.193618
112th at 12th Office Building,1100 112th Ave NE,47.620163,-122.190604
BLOCK 16 FB BELLEVUE 3,1288 123rd Ave NE,47.621852,-122.175836
AMC Factoria 8,3505 Factoria Blvd Se,47.5786615,-122.1704435
Marriott AC Bellevue - Tesla Destination,208 106th Pl NE,47.612345,-122.197702
